"name","description","origin_region"
"Каберне Совиньон","Один из самых известных красных сортов винограда в мире. Вина из него получаются насыщенными, с ароматами черной смородины, вишни и нотками кедра.","Бордо, Франция"
"Пино Нуар","Элегантный и ароматный красный сорт, дающий вина с нежным вкусом и ароматами красных ягод, вишни и специй.","Бургундия, Франция"
"Шираз","Мощный и насыщенный сорт, производящий вина с интенсивными фруктовыми нотами и перечным послевкусием.","Рона, Франция"
"Мерло","Мягкий и фруктовый красный сорт, часто используемый в блендах. Вина обладают вкусом черной вишни, шоколада и ванили.","Бордо, Франция"
"Каберне Фран","Деликатный сорт, дающий вина со свежими фруктовыми нотами, вишней и легкими травяными оттенками.","Бордо, Франция"
"Совиньон Блан","Свежий и ароматный белый сорт с яркими цитрусовыми и фруктовыми нотами, часто с травяными оттенками.","Бордо, Франция"
"Шардоне","Универсальный белый сорт, используемый для производства вин с различными вкусовыми профилями от минеральных до маслянистых.","Бургундия, Франция"
"Рислинг","Ароматный белый сорт, производящий вина с высокой кислотностью и фруктовыми, цветочными и минеральными нотами.","Рейн, Германия"
"Гевюрцтраминер","Ароматный белый сорт с ярко выраженным ароматом розы, специй и фруктов.","Альзас, Франция"
"Мускат","Один из древнейших сортов винограда, используемых для производства сладких и игристых вин с фруктовыми и цветочными нотами.","Средиземноморье"
"Семильон","Белый сорт, часто используемый в блендах, придающий винам маслянистость и восковую текстуру.","Бордо, Франция"
"Вионье","Ароматный белый сорт с фруктовыми и цветочными нотами, часто с минеральными оттенками.","Рона, Франция"
"Мальбек","Темный красный сорт, производящий насыщенные вина с мягкими танинами и фруктовыми нотами.","Каор, Франция"
"Гренаш","Красный сорт, часто используемый в блендах, придающий винам фруктовость и алкогольность.","Рона, Франция"
"Карменере","Красный сорт, родственный Каберне Совиньон, с ароматами темных фруктов, шоколада и перца.","Бордо, Франция"
"Пино Гриджио","Белый сорт, производящий легкие, сухие вина с цитрусовыми и минеральными нотами.","Северная Италия"
"Совиньон Гри","Розовый сорт, используемый для производства розовых вин с фруктовыми и цветочными нотами.","Бордо, Франция"
